Current       Voltage         Power         Tempreture        Humidity          Flux          Illuminance         LM35-1      LM35-2        SNo.      LM35-3      LM35-4
        25.00*A        0.05*mV        1.25*Watt        30.00*C        15.00%        54612.00*LX        431.43*W/m2        9.88*C        9.67*C        18        10.96*C        18.90*C

        25.00*A        0.05*mV        1.25*Watt        30.00*C        15.00%        54612.00*LX        431.43*W/m2        9.99*C        9.77*C        19        11.92*C        19.33*C

        25.00*A        0.05*mV        1.25*Watt        30.00*C        15.00%        54612.00*LX        431.43*W/m2        9.99*C        9.77*C        20        18.58*C        23.09*C

        25.00*A        0.05*mV        1.25*Watt        30.00*C        15.00%        54612.00*LX        431.43*W/m2        10.10*C        9.77*C        21        13.21*C        19.98*C

        25.00*A        0.05*mV        1.25*Watt        30.00*C        15.00%        54612.00*LX        431.43*W/m2        10.20*C        9.77*C        22        18.58*C        23.09*C

        25.00*A        0.05*mV        1.25*Watt        30.00*C        15.00%        54612.00*LX        431.43*W/m2        10.20*C        9.77*C        23        19.44*C        23.52*C

        25.00*A        0.05*mV        1.25*Watt        30.00*C        15.00%        54612.00*LX        431.43*W/m2        10.20*C        9.77*C        24        14.61*C        20.62*C

        25.00*A        0.05*mV        1.25*Watt        30.00*C        15.00%        54612.00*LX        431.43*W/m2        10.20*C        9.88*C        25        7.84*C        16.86*C

        25.00*A        0.05*mV        1.25*Watt        30.00*C        15.00%        54612.00*LX        431.43*W/m2        10.31*C        9.88*C        26        17.83*C        22.56*C

        25.00*A        0.05*mV        1.25*Watt        30.00*C        15.00%        54612.00*LX        431.43*W/m2        10.42*C        9.88*C        27        19.55*C        23.63*C

        25.00*A        0.05*mV        1.25*Watt        31.00*C        14.00%        54612.00*LX        431.43*W/m2        10.42*C        9.88*C        28        19.23*C        23.42*C

        25.00*A        0.05*mV        1.25*Watt        30.00*C        15.00%        54612.00*LX        431.43*W/m2        10.42*C        9.99*C        29        13.53*C        20.41*C

        25.00*A        0.05*mV        1.25*Watt        30.00*C        15.00%        54612.00*LX        431.43*W/m2        10.53*C        9.99*C        30        24.60*C        26.42*C

        25.00*A        0.05*mV        1.25*Watt        30.00*C        15.00%        54612.00*LX        431.43*W/m2        10.53*C        10.10*C        31        20.62*C        24.17*C

        25.00*A        0.05*mV        1.25*Watt        31.00*C        14.00%        54612.00*LX        431.43*W/m2        10.63*C        9.99*C        32        19.55*C        23.52*C

        25.00*A        0.05*mV        1.25*Watt        31.00*C        14.00%        54612.00*LX        431.43*W/m2        10.63*C        9.99*C        33        3.11*C        13.75*C

        25.00*A        0.05*mV        1.25*Watt        31.00*C        14.00%        54612.00*LX        431.43*W/m2        10.63*C        9.99*C        34        9.02*C        17.08*C

        25.00*A        0.05*mV        1.25*Watt        31.00*C        14.00%        54612.00*LX        431.43*W/m2        10.74*C        9.99*C        35        35.02*C        33.19*C

        25.00*A        0.05*mV        1.25*Watt        31.00*C        14.00%        54612.00*LX        431.43*W/m2        10.74*C        10.10*C        36        26.85*C        27.82*C

        25.00*A        0.05*mV        1.25*Watt        31.00*C        14.00%        54612.00*LX        431.43*W/m2        10.85*C        10.20*C        37        29.32*C        29.43*C

        25.00*A        0.05*mV        1.25*Watt        31.00*C        14.00%        54612.00*LX        431.43*W/m2        10.85*C        10.10*C        38        23.63*C        25.78*C

        25.00*A        0.05*mV        1.25*Watt        31.00*C        14.00%        54612.00*LX        431.43*W/m2        10.85*C        10.20*C        39        23.31*C        25.67*C

        25.00*A        0.05*mV        1.25*Watt        31.00*C        14.00%        54612.00*LX        431.43*W/m2        10.85*C        10.20*C        40        22.88*C        25.46*C

        25.00*A        0.05*mV        1.25*Watt        31.00*C        14.00%        54612.00*LX        431.43*W/m2        10.85*C        10.31*C        41        24.60*C        26.42*C

        25.00*A        0.05*mV        1.25*Watt        31.00*C        14.00%        54612.00*LX        431.43*W/m2        11.06*C        10.20*C        42        23.52*C        25.78*C

        25.00*A        0.05*mV        1.25*Watt        31.00*C        14.00%        54612.00*LX        431.43*W/m2        10.96*C        10.20*C        43        21.80*C        24.70*C

        25.00*A        0.05*mV        1.25*Watt        31.00*C        14.00%        54612.00*LX        431.43*W/m2        10.96*C        10.31*C        44        20.62*C        24.06*C

        25.00*A        0.05*mV        1.25*Watt        31.00*C        14.00%        54612.00*LX        431.43*W/m2        10.96*C        10.42*C        45        23.20*C        26.10*C

        25.00*A        0.05*mV        1.25*Watt        31.00*C        14.00%        54612.00*LX        431.43*W/m2        11.06*C        10.31*C        46        12.46*C        19.55*C

        25.00*A        0.05*mV        1.25*Watt        31.00*C        14.00%        54612.00*LX        431.43*W/m2        11.06*C        10.42*C        47        36.52*C        33.51*C

        25.00*A        0.05*mV        1.25*Watt        31.00*C        14.00%        54612.00*LX        431.43*W/m2        11.06*C        10.31*C        48        7.30*C        16.54*C

        25.00*A        0.05*mV        1.25*Watt        31.00*C        14.00%        54612.00*LX        431.43*W/m2        11.06*C        10.42*C        49        10.20*C        17.51*C

        25.00*A        0.05*mV        1.25*Watt        31.00*C        14.00%        54612.00*LX        431.43*W/m2        11.06*C        10.42*C        50        15.15*C        20.84*C

        25.00*A        0.05*mV        1.25*Watt        31.00*C        14.00%        54612.00*LX        431.43*W/m2        11.06*C        10.42*C        51        26.75*C        27.60*C

        25.00*A        0.05*mV        1.25*Watt        31.00*C        14.00%        54612.00*LX        431.43*W/m2        10.96*C        10.53*C        52        22.56*C        25.35*C

        25.00*A        0.05*mV        1.25*Watt        31.00*C        14.00%        54612.00*LX        431.43*W/m2        10.96*C        10.53*C        53        12.35*C        19.44*C

        25.00*A        0.05*mV        1.25*Watt        31.00*C        14.00%        54612.00*LX        431.43*W/m2        11.06*C        10.53*C        54        24.27*C        26.21*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        10.96*C        10.53*C        55        21.37*C        24.49*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        10.85*C        10.53*C        56        26.42*C        27.50*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        10.85*C        10.53*C        57        25.46*C        26.96*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        10.85*C        10.63*C        58        22.34*C        24.92*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        10.85*C        10.63*C        59        16.76*C        21.91*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        10.96*C        10.63*C        60        7.95*C        16.76*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        10.85*C        10.63*C        61        8.27*C        17.19*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        10.96*C        10.74*C        62        35.88*C        32.87*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        10.85*C        10.74*C        63        30.83*C        29.97*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        10.85*C        10.74*C        64        29.75*C        29.32*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        10.96*C        10.85*C        65        29.54*C        29.11*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        11.06*C        10.74*C        66        23.42*C        25.35*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        10.96*C        10.74*C        67        8.92*C        17.40*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        11.06*C        10.74*C        68        39.21*C        35.55*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        11.06*C        10.85*C        69        3.01*C        13.64*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        11.06*C        10.85*C        70        12.89*C        19.55*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        10.96*C        10.85*C        71        54.03*C        45.22*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        11.06*C        10.85*C        72        17.51*C        21.80*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        11.17*C        10.85*C        73        19.12*C        22.66*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        11.17*C        10.85*C        74        22.56*C        25.03*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        11.28*C        10.96*C        75        23.74*C        25.67*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        11.28*C        10.85*C        76        16.65*C        20.95*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        11.28*C        10.96*C        77        20.73*C        23.74*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        11.39*C        10.85*C        78        18.05*C        22.02*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        11.39*C        10.96*C        79        20.19*C        23.42*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        11.39*C        10.96*C        80        46.72*C        40.17*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        11.39*C        10.96*C        81        33.94*C        31.69*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        11.49*C        11.06*C        82        26.42*C        27.28*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        11.49*C        11.06*C        83        35.23*C        32.44*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        11.49*C        11.06*C        84        31.69*C        30.18*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        11.60*C        11.06*C        85        1.40*C        12.24*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        11.49*C        11.06*C        86        13.21*C        19.44*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        11.60*C        11.06*C        87        25.78*C        26.53*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        11.49*C        11.06*C        88        20.62*C        23.42*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        11.49*C        11.17*C        89        31.69*C        30.61*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        11.49*C        11.06*C        90        9.02*C        17.08*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        11.60*C        11.17*C        91        12.57*C        19.23*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        11.49*C        11.06*C        92        15.36*C        20.62*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        11.49*C        11.17*C        93        15.36*C        20.73*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        11.49*C        11.17*C        94        15.90*C        21.05*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        11.39*C        11.17*C        95        16.22*C        21.16*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        11.39*C        11.17*C        96        16.00*C        21.05*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        11.49*C        11.28*C        97        20.52*C        22.77*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        11.39*C        11.28*C        98        6.66*C        15.36*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        11.39*C        11.28*C        99        12.78*C        19.12*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        11.39*C        11.28*C        100        57.57*C        47.15*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        11.49*C        11.39*C        101        11.17*C        18.80*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        11.60*C        11.28*C        102        12.46*C        19.12*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        11.60*C        11.39*C        103        14.39*C        20.19*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        11.60*C        11.39*C        104        15.25*C        20.73*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        11.71*C        11.39*C        105        15.68*C        20.95*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        11.71*C        11.39*C        106        15.79*C        20.95*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        11.71*C        11.39*C        107        16.00*C        21.16*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        11.82*C        11.39*C        108        52.74*C        42.96*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        11.82*C        11.39*C        109        6.23*C        15.25*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        11.82*C        11.39*C        110        15.04*C        20.52*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        11.82*C        11.39*C        111        15.90*C        20.95*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        11.82*C        11.49*C        112        68.21*C        54.67*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        11.92*C        11.49*C        113        39.42*C        35.23*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        11.82*C        11.49*C        114        33.94*C        31.79*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        11.82*C        11.49*C        115        29.43*C        29.00*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        11.71*C        11.60*C        116        26.75*C        27.39*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        11.60*C        11.49*C        117        28.25*C        28.25*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        11.60*C        11.49*C        118        24.81*C        26.21*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        11.60*C        11.60*C        119        24.60*C        26.10*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        11.60*C        11.49*C        120        24.81*C        26.21*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        11.60*C        11.49*C        121        24.60*C        26.10*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        11.60*C        11.60*C        122        24.38*C        25.99*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        11.49*C        11.60*C        123        24.81*C        26.21*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        11.49*C        11.60*C        124        27.60*C        28.03*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        11.49*C        11.60*C        125        24.17*C        25.89*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        11.60*C        11.60*C        126        3.65*C        13.75*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        11.49*C        11.71*C        127        10.42*C        18.26*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        11.49*C        11.71*C        128        49.41*C        41.68*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        11.60*C        11.60*C        129        12.03*C        18.80*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        11.60*C        11.71*C        130        13.10*C        19.55*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        11.60*C        11.71*C        131        40.17*C        35.12*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        11.60*C        11.71*C        132        29.32*C        28.79*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        11.60*C        11.71*C        133        12.78*C        19.66*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        11.49*C        11.71*C        134        17.29*C        22.02*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        11.60*C        11.71*C        135        19.98*C        23.20*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        11.71*C        11.82*C        136        7.20*C        15.68*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        11.71*C        11.71*C        137        11.92*C        18.69*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        11.71*C        11.82*C        138        13.96*C        19.87*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        11.82*C        11.71*C        139        15.25*C        20.62*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        11.82*C        11.82*C        140        16.54*C        21.27*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        11.92*C        11.82*C        141        15.68*C        20.84*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        11.92*C        11.82*C        142        16.43*C        21.27*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        11.82*C        11.82*C        143        17.51*C        22.02*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        11.82*C        11.82*C        144        17.08*C        21.70*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        11.82*C        11.82*C        145        15.36*C        20.73*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        11.92*C        11.82*C        146        22.99*C        25.56*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        11.92*C        11.82*C        147        16.76*C        21.80*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        11.82*C        11.82*C        148        13.75*C        19.87*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        11.92*C        11.82*C        149        11.60*C        18.26*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        12.03*C        11.92*C        150        58.00*C        46.19*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        12.03*C        11.92*C        151        39.96*C        35.02*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        12.14*C        11.92*C        152        9.56*C        17.62*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        12.14*C        11.92*C        153        13.96*C        19.98*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        12.14*C        12.03*C        154        15.25*C        20.73*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        12.14*C        11.92*C        155        16.65*C        21.37*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        12.24*C        11.92*C        156        16.43*C        21.37*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        12.24*C        12.03*C        157        15.79*C        20.95*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        12.35*C        12.03*C        158        16.00*C        21.16*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        12.35*C        12.03*C        159        16.33*C        21.27*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        12.24*C        12.03*C        160        58.54*C        46.62*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        12.24*C        12.03*C        161        39.74*C        35.02*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        12.35*C        12.14*C        162        32.76*C        30.93*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        12.24*C        12.14*C        163        30.40*C        29.54*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        12.24*C        12.14*C        164        28.68*C        28.57*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        12.46*C        12.14*C        165        27.07*C        27.60*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        12.35*C        12.14*C        166        7.41*C        16.43*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        12.35*C        12.03*C        167        43.50*C        37.27*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        12.46*C        12.03*C        168        29.97*C        29.22*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        12.35*C        12.03*C        169        27.93*C        28.14*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        12.24*C        12.14*C        170        31.04*C        29.97*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        12.24*C        12.03*C        171        27.18*C        27.71*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        12.35*C        12.03*C        172        5.69*C        15.68*C

        25.00*A        0.05*mV        1.25*Watt        31.00*C        14.00%        54612.00*LX        431.43*W/m2        12.35*C        12.14*C        173        11.17*C        18.37*C

        25.00*A        0.05*mV        1.25*Watt        31.00*C        14.00%        54612.00*LX        431.43*W/m2        12.35*C        12.14*C        174        14.29*C        20.30*C

        25.00*A        0.05*mV        1.25*Watt        31.00*C        14.00%        54612.00*LX        431.43*W/m2        12.35*C        12.14*C        175        14.61*C        20.52*C

        25.00*A        0.05*mV        1.25*Watt        31.00*C        14.00%        54612.00*LX        431.43*W/m2        12.35*C        12.03*C        176        16.33*C        21.59*C

        25.00*A        0.05*mV        1.25*Watt        31.00*C        14.00%        54612.00*LX        431.43*W/m2        12.35*C        12.14*C        177        14.72*C        20.62*C

        25.00*A        0.05*mV        1.25*Watt        31.00*C        14.00%        54612.00*LX        431.43*W/m2        12.46*C        12.14*C        178        15.47*C        21.16*C

        25.00*A        0.05*mV        1.25*Watt        31.00*C        14.00%        54612.00*LX        431.43*W/m2        12.46*C        12.03*C        179        17.51*C        22.13*C

        25.00*A        0.05*mV        1.25*Watt        31.00*C        14.00%        54612.00*LX        431.43*W/m2        12.46*C        12.14*C        180        7.73*C        16.76*C

